gene_a	gene_b
REM1	GRIN1
REM1	MUC6
REM1	RAB40A
REM1	RASGRP2
REM1	ELAVL3
REM1	JAK3
REM1	PPARG
REM1	DSE
REM1	SPAM1
REM1	CBL
REM1	PDE6G
REM1	PRDM9
REM1	COL2A1
REM1	BUD23
REM1	LTK
REM1	ALK
REM1	GSTM5
REM1	GLS2
REM1	CDC42
REM1	ACTL7B
REM1	KLF2
REM1	LTBP4
REM1	TGM1
REM1	SPTB
REM1	ASB9
REM1	LRRC4C
REM1	FOLH1
REM1	PAK3
REM1	LRRTM4
REM1	LRRTM1
REM1	PLXDC1
REM1	CCDC9
REM1	PDGFRA
REM1	FLT4
REM1	MYH2
REM1	S1PR2
REM1	YWHAE
REM1	RAC1
REM1	PRKCG
REM1	KIF2B
REM1	CACNA1H
REM1	CACNA1B
REM1	CACNA1C
REM1	SETDB1
REM1	PER1
REM1	FGFR4
REM1	MORN1
REM1	ADCY1
REM1	RAB42
REM1	CRP
REM1	PPM1L
REM1	JUN
REM1	RREB1
REM1	PLCB2
REM1	EPHB4
REM1	PAX3
REM1	BTNL3
REM1	ESR1
REM1	RXFP3
REM1	OXA1L
REM1	CHRNB2
REM1	WNT2
REM1	ADRB3
REM1	MAP2K2
REM1	GDF5
REM1	SMARCB1
REM1	OSR2
REM1	MOG
REM1	HTR1E
REM1	BCL3
REM1	LUM
REM1	CDX2
REM1	BOK
REM1	PDE7B
REM1	ZNF362
REM1	GSK3A
REM1	PIK3R5
REM1	PIK3R2
REM1	NR5A1
REM1	ZNF536
REM1	RHOH
REM1	RHOB
REM1	RHOA
REM1	PLSCR4
REM1	LRRC17
REM1	HOXD13
REM1	ABL2
REM1	PDGFRB
REM1	ELN
REM1	FEV
REM1	GNAT1
REM1	DAO
REM1	GLI1
REM1	PDGFB
REM1	TNR
REM1	LRRC55
REM1	TNN
REM1	SHANK1
REM1	PTPRU
REM1	POU2F2
REM1	COL14A1
REM1	GNA15
REM1	GLYAT
REM1	ACTL6B
UCHL5	NCBP1
UCHL5	NIPA2
UCHL5	CDC73
UCHL5	HSPA4
UCHL5	DHX9
UCHL5	IQCB1
UCHL5	LARP7
UCHL5	CEP83
UCHL5	CEP76
UCHL5	ELAVL1
UCHL5	DTL
UCHL5	FEN1
UCHL5	XPO1
UCHL5	APOB
UCHL5	XPO4
UCHL5	NRAS
UCHL5	TTK
UCHL5	AHSA1
UCHL5	UAP1
UCHL5	BRCC3
UCHL5	DSP
UCHL5	NCAPD3
UCHL5	BLM
UCHL5	PPIG
UCHL5	PSIP1
UCHL5	UTP20
UCHL5	EIF4A1
UCHL5	MAP3K1
UCHL5	NUP133
UCHL5	SMAD3
UCHL5	TAF11
UCHL5	ASPM
UCHL5	PLRG1
UCHL5	S100A7
UCHL5	RNF20
UCHL5	RIOK2
UCHL5	SMC3
UCHL5	MCRS1
UCHL5	PLCG1
UCHL5	CHAF1B
UCHL5	SMC2
UCHL5	DDX10
UCHL5	DDX18
UCHL5	PSMC3
UCHL5	HEATR1
UCHL5	HIKESHI
UCHL5	TIMM17A
UCHL5	E2F3
UCHL5	E2F2
UCHL5	SSB
UCHL5	WDR75
UCHL5	YWHAE
UCHL5	HDAC2
UCHL5	USP28
UCHL5	POF1B
UCHL5	CBFB
UCHL5	URB2
UCHL5	BARD1
UCHL5	THOC7
UCHL5	SYNCRIP
UCHL5	YEATS4
UCHL5	ACTB
UCHL5	ELOC
UCHL5	DDX55
UCHL5	ZWILCH
UCHL5	PAAF1
UCHL5	MTHFD2
UCHL5	PSMD8
UCHL5	HUWE1
UCHL5	RFC4
UCHL5	SKP2
UCHL5	RANBP2
UCHL5	TGFBR2
UCHL5	TGFBR1
UCHL5	RPS27A
UCHL5	RRS1
UCHL5	KNSTRN
UCHL5	API5
UCHL5	RTCA
UCHL5	USP8
UCHL5	GRSF1
UCHL5	MTERF3
UCHL5	MSH2
UCHL5	MSH6
UCHL5	USP7
UCHL5	MRPS14
UCHL5	RNFT1
UCHL5	NOP58
UCHL5	TIPIN
UCHL5	RB1
UCHL5	RPE
UCHL5	AURKA
UCHL5	CDC5L
UCHL5	INTS7
UCHL5	CCNB2
UCHL5	CUL4B
UCHL5	EEF2
UCHL5	DYNLL1
UCHL5	ACTG1
UCHL5	PPIL1
UCHL5	POLR3E
UCHL5	EPPK1
UCHL5	AHCTF1
UCHL5	DLGAP5
UCHL5	CUL1
UCHL5	CUL3
UCHL5	BRCA1
UCHL5	ZNF207
UCHL5	TRIM27
UCHL5	PRMT5
UCHL5	OMA1
UCHL5	USP16
UCHL5	SNRPD3
UCHL5	NCAPG
UCHL5	PAIP1
UCHL5	XRCC5
UCHL5	UMPS
UCHL5	SMURF2
UCHL5	SRSF1
UCHL5	ABCF2
UCHL5	SRSF2
UCHL5	SRSF9
UCHL5	BORA
UCHL5	NEK2
UCHL5	CHEK2
UCHL5	HNRNPC
UCHL5	PARP2
UCHL5	UBA6
UCHL5	UBA2
UCHL5	PTPN2
UCHL5	HERC2
UCHL5	HLTF
UCHL5	TFDP1
UCHL5	PTDSS1
UCHL5	DSC3
UCHL5	FBXO5
UCHL5	NDC80
UCHL5	FBXO28
UCHL5	FTH1
UCHL5	TPR
UCHL5	GINS1
UCHL5	NUP54
UCHL5	WDR12
UCHL5	SET
UCHL5	PALB2
